WWWWWWWWWWWWWWWW
WR    ?  @U    W
W *       ?    W
WR        %   LW
W         %    W
W         U    W
W              W
W         U    W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
WR ????????????W
W              W
WR ????????????W
W              W
WR ????????????W
W              W
WR ????????????W
W              W
WR ????????????W
W              W
WWWWWWWWWWWWWWWW
